,% in 1,% in 2,% in 3,% in 4,Name
0,,,,,participant#1.csv
1,42.0,0.0,6.2,0.0,
2,13.365853658536585,0.0,23.829268292682926,28.975609756097562,
3,15.721311475409836,0.0,35.377049180327866,4.311475409836065,
4,26.782608695652176,2.1884057971014492,2.8550724637681157,10.44927536231884,
5,26.838709677419356,1.7419354838709677,23.370967741935484,0.0,
6,9.0,16.21276595744681,30.51063829787234,7.702127659574468,
7,37.564516129032256,37.693548387096776,0.0,0.0,
8,32.42424242424242,18.848484848484848,8.333333333333334,5.151515151515151,
9,24.55,18.283333333333335,20.933333333333334,0.0,
10,13.853658536585366,12.609756097560975,6.902439024390244,27.853658536585368,
11,4.540983606557377,26.885245901639344,26.262295081967213,5.557377049180328,
12,5.909090909090909,45.81818181818182,3.3636363636363638,15.863636363636363,
13,18.214285714285715,0.0,17.625,7.0,
14,16.966666666666665,13.566666666666666,29.566666666666666,3.066666666666667,
15,26.045454545454547,5.863636363636363,16.454545454545453,9.386363636363637,
16,65.33928571428571,0.0,0.0,6.464285714285714,
17,24.25,23.416666666666668,5.527777777777778,4.277777777777778,
18,20.442622950819672,0.0,18.508196721311474,34.21311475409836,
19,9.947368421052632,17.07894736842105,17.94736842105263,17.763157894736842,
20,56.526315789473685,0.0,0.0,0.0,
21,27.76923076923077,7.153846153846154,19.53846153846154,7.0,
22,28.666666666666668,8.142857142857142,13.0,18.19047619047619,
23,18.21311475409836,0.0,8.360655737704919,36.40983606557377,
24,43.11764705882353,3.1176470588235294,0.0,20.235294117647058,
25,9.64516129032258,16.870967741935484,11.838709677419354,33.45161290322581,
26,14.476190476190476,15.666666666666666,10.69047619047619,18.714285714285715,
27,23.50769230769231,0.0,14.307692307692308,41.15384615384615,
28,38.607142857142854,0.0,0.0,24.571428571428573,
29,34.666666666666664,0.0,3.3968253968253967,0.0,
30,20.25,2.425,25.9,14.975,
31,38.34285714285714,3.5714285714285716,14.057142857142857,7.857142857142857,
32,17.545454545454547,0.0,38.03636363636364,2.7818181818181817,
33,29.875,0.0,17.859375,0.0,
34,29.525,9.975,13.025,15.425,
35,20.8,7.371428571428571,10.628571428571428,27.228571428571428,
36,17.25,0.0,21.416666666666668,0.0,
37,17.140625,3.5,11.28125,13.265625,
38,21.1875,12.4375,12.645833333333334,17.666666666666668,
39,45.41935483870968,16.129032258064516,10.161290322580646,0.0,
40,38.06060606060606,11.424242424242424,18.272727272727273,3.4242424242424243,
41,22.266666666666666,0.0,9.0,0.0,
42,30.666666666666668,38.59090909090909,16.636363636363637,0.0,
43,27.548387096774192,0.0,11.838709677419354,36.03225806451613,
44,14.728813559322035,0.0,24.11864406779661,2.9322033898305087,
45,18.897435897435898,14.0,16.615384615384617,8.35897435897436,
46,28.176470588235293,8.294117647058824,18.529411764705884,7.823529411764706,
47,27.850746268656717,3.5223880597014925,30.029850746268657,2.328358208955224,
48,19.783333333333335,1.5166666666666666,15.966666666666667,9.5,
49,21.333333333333332,9.3,26.233333333333334,7.433333333333334,
50,26.875,2.21875,5.796875,12.546875,
51,5.741379310344827,0.0,43.6551724137931,0.0,
52,39.541666666666664,8.604166666666666,7.291666666666667,4.9375,
53,0.0,0.0,21.725490196078432,30.92156862745098,
54,27.157894736842106,0.0,25.842105263157894,20.68421052631579,
55,28.75609756097561,4.219512195121951,15.682926829268293,19.341463414634145,
56,21.375,7.375,40.71875,0.0,
57,39.785714285714285,0.0,3.8392857142857144,0.0,
58,40.0,0.0,24.375,0.0,
59,26.975609756097562,9.463414634146341,13.536585365853659,22.853658536585368,
60,29.94736842105263,6.473684210526316,0.0,0.0,
61,32.275862068965516,0.0,4.517241379310345,13.293103448275861,
62,15.439024390243903,0.0,0.0,58.31707317073171,
63,14.981481481481481,0.0,40.574074074074076,0.0,
64,64.03333333333333,0.0,13.4,0.0,
