,% in 1,% in 2,% in 3,% in 4,Name
0,,,,,participant#4.csv
2,0.0,0.0,14.975,57.775,
6,29.285714285714285,21.61904761904762,7.785714285714286,7.833333333333333,
8,27.34090909090909,6.954545454545454,21.90909090909091,4.636363636363637,
10,7.380952380952381,8.30952380952381,21.095238095238095,31.0,
12,23.36842105263158,3.526315789473684,0.0,48.73684210526316,
14,30.27659574468085,20.02127659574468,9.617021276595745,2.234042553191489,
15,0.0,5.146341463414634,10.073170731707316,52.8780487804878,
17,39.76923076923077,19.923076923076923,0.0,8.179487179487179,
19,17.454545454545453,16.34090909090909,30.886363636363637,0.0,
21,0.0,37.90909090909091,33.5,0.0,
22,9.0,34.95,14.775,11.25,
24,17.181818181818183,0.0,47.09090909090909,3.6818181818181817,
25,0.0,0.0,39.5609756097561,26.78048780487805,
26,14.275,0.0,16.3,36.75,
30,37.404761904761905,0.0,28.69047619047619,0.0,
31,24.92105263157895,9.131578947368421,14.842105263157896,16.394736842105264,
34,65.73170731707317,0.0,0.0,0.5365853658536586,
35,13.68421052631579,14.236842105263158,37.71052631578947,5.7105263157894735,
38,0.0,12.439024390243903,32.19512195121951,23.609756097560975,
39,48.95454545454545,6.318181818181818,12.613636363636363,0.0,
40,10.0,13.18421052631579,0.0,33.73684210526316,
43,25.023809523809526,0.0,15.30952380952381,29.357142857142858,
45,0.0,10.512820512820513,0.0,66.3076923076923,
46,43.89473684210526,7.842105263157895,0.0,26.789473684210527,
49,21.022222222222222,28.31111111111111,0.0,13.933333333333334,
52,0.0,33.0,12.232558139534884,18.74418604651163,
54,40.36363636363637,0.0,23.636363636363637,0.0,
55,22.27777777777778,6.75,0.0,37.083333333333336,
56,11.195121951219512,8.634146341463415,23.829268292682926,18.146341463414632,
58,0.0,51.69565217391305,21.956521739130434,0.0,
59,38.8421052631579,29.18421052631579,0.0,4.2105263157894735,
62,0.0,0.0,22.17948717948718,46.07692307692308,
0,,,,,participant#5.csv
2,0.0,35.35,21.1,15.925,
6,38.904761904761905,0.0,0.0,16.285714285714285,
8,32.0,16.825,5.85,11.75,
10,0.0,22.256410256410255,15.282051282051283,6.769230769230769,
12,27.454545454545453,11.181818181818182,0.0,25.59090909090909,
14,28.931818181818183,10.636363636363637,17.5,11.386363636363637,
15,2.9767441860465116,6.511627906976744,23.441860465116278,30.27906976744186,
17,45.56410256410256,0.0,6.051282051282051,5.9743589743589745,
19,34.875,21.35,0.0,13.175,
21,0.0,53.958333333333336,17.541666666666668,0.0,
22,0.0,26.047619047619047,26.785714285714285,3.7857142857142856,
24,49.095238095238095,0.0,22.61904761904762,0.0,
25,28.55263157894737,0.0,21.210526315789473,26.18421052631579,
26,14.571428571428571,7.257142857142857,28.571428571428573,19.514285714285716,
30,0.0,29.525,7.6,25.575,
31,19.685714285714287,3.1142857142857143,6.542857142857143,33.457142857142856,
34,26.5,8.476190476190476,15.761904761904763,13.357142857142858,
35,24.675,26.9,0.0,14.575,
38,12.790697674418604,12.976744186046512,22.11627906976744,6.813953488372093,
39,18.473684210526315,0.0,0.0,0.0,
40,34.088235294117645,11.029411764705882,7.529411764705882,19.235294117647058,
43,16.775,0.0,16.375,40.075,
45,0.0,4.5,26.285714285714285,26.666666666666668,
46,10.047619047619047,13.476190476190476,20.666666666666668,20.857142857142858,
49,50.41463414634146,0.0,0.0,0.0,
52,5.833333333333333,57.904761904761905,5.142857142857143,0.0,
54,0.0,36.2,40.85,0.0,
55,33.12820512820513,0.0,0.0,25.846153846153847,
56,13.23076923076923,15.512820512820513,17.692307692307693,27.256410256410255,
58,0.0,55.523809523809526,23.142857142857142,0.0,
59,0.0,16.48780487804878,14.853658536585366,27.29268292682927,
62,0.0,0.0,12.804878048780488,0.4634146341463415,
