trial_count	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_START	CURRENT_FIX_END	verb_onset	Sentence_duration_ms
0	[ ]	7	701	0	0
0	[ ]	908	992	0	6411.791
0	[ ]	1008	1285	0	0
0	[ ]	1495	1865	0	0
0	[ 1]	1908	2060	0	0
0	[ ]	2099	2241	0	6467.347
0	[ ]	2260	2965	0	0
0	[ ]	2976	3252	0	5891.156
0	[ ]	3262	3492	0	0
0	[ 1]	3699	3726	0	6239.592
0	[ 1]	3762	3916	0	0
0	[ 1]	3954	4188	0	6193.878
0	[ 1]	4218	4491	0	0
0	[ 1]	4516	4891	0	6844.422
0	[ 1]	4911	5077	0	6115.646
0	[ 1]	5094	5469	0	0
0	[ 2]	5530	5673	0	5649.297
0	[ 2]	5706	5938	0	0
0	[ 1]	5989	6278	0	6057.823
0	[ 1]	6318	6484	0	0
0	[ 1]	6499	6787	0	6414.512
0	[ 1]	6796	7320	0	6197.279
0	[ ]	7	585	3220.871	0
0	[ ]	602	782	3220.871	6428.753
0	[ ]	794	988	3220.871	6034.014
0	[ ]	996	1895	3220.871	5729.025
0	[ 3]	1928	2083	3220.871	0
0	[ ]	2119	2248	3220.871	0
0	[ 3]	2295	2465	3220.871	0
0	[ 3]	2480	2723	3220.871	6382.472
0	[ 3]	2763	2905	3220.871	5725.578
0	[ 3]	2923	3215	3220.871	0
0	[ ]	3279	3396	3220.871	0
0	[ 2]	3436	3599	3220.871	5891.156
0	[ 2]	3626	3779	3220.871	6057.823
0	[ 3]	3835	3985	3220.871	0
0	[ 3]	4019	4132	3220.871	0
0	[ 1]	4182	4417	3220.871	6034.014
0	[ 4]	4483	4692	3220.871	6844.422
0	[ 4]	4716	4884	3220.871	5649.297
0	[ 4]	4907	5034	3220.871	0
0	[ 3]	5085	5261	3220.871	0
0	[ 3]	5294	5478	3220.871	6411.791
0	[ 3]	5505	5680	3220.871	0
0	[ 3]	5692	5837	3220.871	6115.646
0	[ 2]	5906	6051	3220.871	6193.878
0	[ 2]	6073	6214	3220.871	0
0	[ 2]	6242	6519	3220.871	0
0	[ 2]	6554	6814	3220.871	6467.347
0	[ 2]	6841	7028	3220.871	0
0	[ 2]	7044	7201	3220.871	0
0	[ 1]	7269	7423	3220.871	6197.279
0	[ 1]	7448	7674	3220.871	0
0	[ 3]	7738	7891	3220.871	6428.753
0	[ 3]	7916	8115	3220.871	5725.578
0	[ 3]	8165	8306	3220.871	6382.472
0	[ 3]	8331	8437	3220.871	0
0	[ 3]	8468	8635	3220.871	6414.512
0	[ 3]	8650	8795	3220.871	5729.025
0	[ 2]	8856	9007	3220.871	0
0	[ 2]	9028	9223	3220.871	0
0	[ 4]	9270	9445	3220.871	6239.592
0	[ 4]	9468	9661	3220.871	0
0	[ 4]	9679	9780	3220.871	0
0	[ 4]	9819	9975	3220.871	0
0	[ 4]	10001	10079	3220.871	0
0	[ 2]	10144	10500	3220.871	0
0	[ ]	7	160	2881.856	0
0	[ ]	174	445	2881.856	0
0	[ ]	460	786	2881.856	0
0	[ ]	808	1861	2881.856	0
0	[ 3]	1900	2045	2881.856	0
0	[ 3]	2061	2254	2881.856	0
0	[ 3]	2297	2467	2881.856	0
0	[ 3]	2478	2813	2881.856	0
0	[ 1]	2862	3021	2881.856	0
0	[ 1]	3041	3820	2881.856	0
0	[ 1]	3872	4049	2881.856	0
0	[ 3]	4102	4218	2881.856	0
0	[ 3]	4242	4586	2881.856	0
0	[ 3]	4613	4753	2881.856	0
